created_at,full_text,retweet_count,favorite_count,screen_name
2022-12-14T11:06:00Z,"China's anti-poverty TV drama series ""Minning Town"" has been gaining popularity after its broadcast in some Arab countries. Arab viewers love the story as they relate deeply to the yearning and pursuit for a better life. https://t.co/leG9V5ZLik",207,921,SpokespersonCHN
2022-12-13T14:25:00Z,China's efforts to protect giant pandas are on display at the China Pavilion during the 2nd part of #COP15. https://t.co/CGUl28IYFm,147,682,SpokespersonCHN
2022-12-13T14:02:11Z,"The 454th flight mission of the Long March series rockets -- China's Long March-4C rocket has been launched, carrying a pair of satellites to be used for in-orbit verification of new technologies. https://t.co/LGAkVwzg9h",201,1150,SpokespersonCHN
2022-12-12T02:41:21Z,Awed by the majestic hand of Nature. Striking and sublime... https://t.co/k4IVIMncAS,208,1300,SpokespersonCHN
2022-12-11T13:04:00Z,"Encouraged by President Xi's reply letter, Chinese-language learners in Saudi Arabia say they will contribute their part to the deepening of #China-#SaudiArabia and #China-#Arab friendship. Impressed by their Chinese proficiency. https://t.co/joKHx6RAqe",233,851,SpokespersonCHN
2022-12-11T12:52:09Z,A GT survey of 6 Arab countries finds a favorable view of #China-#Arab cooperation. https://t.co/DNb5YW4C9B,198,662,SpokespersonCHN
2022-12-10T06:43:30Z,وداعا للرياض! هذه الزيارة زيارة تاريخية. أتطلع إلى مستقبل أفضل للعلاقات الصينية العربية. https://t.co/UdC6x73Ucn,113,471,SpokespersonCHN
2022-12-10T06:43:28Z,Goodbye Riyadh! This has been a momentus visit. Look forward to an even brighter future for #China-#Arab states relations. https://t.co/ByWAiuduOL,255,1519,SpokespersonCHN
2022-12-10T06:22:05Z,"""متابعة المسيرة الماضية والتقدم يدا بيد إلى الأمام والعمل سويا على خلق مستقبل جميل للعلاقات الصينية الخليجية""، كلمة رئيس جمهورية الصين الشعبية شي جينبينغ في قمة الصين ومجلس التعاون لدول الخليج العربية.
النص الكامل:
https://t.co/HfDcDE3gTL",43,170,SpokespersonCHN
2022-12-10T06:22:04Z,"Building on Past Achievements and Jointly Creating a Brighter Future of #China-#GCC Relations, keynote speech by President Xi Jinping at the China-GCC Summit.
Full text:
https://t.co/r8ZDPnbUmr https://t.co/IlUyt7Yava",189,767,SpokespersonCHN
2022-12-10T06:21:58Z,"""تكريس روح الصداقة الصينية العربية والعمل يدا بيد على بناء المجتمع الصيني العربي للمستقبل المشترك نحو العصر الجديد""، كلمة رئيسية لرئيس جمهورية الصين الشعبية شي جينبينغ في الجلسة الافتتاحية للقمة الصينية العربية الأولى. النص الكامل:
https://t.co/HPMaTEHhQ2",34,178,SpokespersonCHN
2022-12-10T06:21:57Z,"Carrying Forward the Spirit of #China-#Arab Friendship and Jointly Building a China-Arab Community with a Shared Future in the New Era, keynote speech by President Xi Jinping at the opening ceremony of the first China-Arab States Summit. 
Full text: https://t.co/8OVyPF6PMJ https://t.co/Sc2iNHCXWH",163,693,SpokespersonCHN
2022-12-10T05:11:01Z,"When meeting with Qatari Emir Tamim, President Xi noted that the successful hosting of #FIFAWorldCup has demonstrated Qatar's competence and injected fresh and positive energy into today's world of uncertainties. https://t.co/sRG5QPA6Wa",152,962,SpokespersonCHN
2022-12-10T04:46:40Z,"Photo of leaders attending the 1st #China-#Arab States Summit. When developing countries with a quarter of the world's population strengthen cooperation, it is a good thing for the world. https://t.co/UFhOqu4WlO",222,1076,SpokespersonCHN
2022-12-10T04:38:59Z,Photo of leaders attending the 1st #China-#GCC Summit https://t.co/2XFjmc5yqA,330,1933,SpokespersonCHN
2022-12-10T04:12:08Z,عقدت القمة الصينية العربية الأولى في الرياض. اتفق الجانبان الصيني والعربي على العمل بكل الجهود على بناء المجتمع الصيني العربي للمستقبل المشترك نحو العصر الجديد.,31,183,SpokespersonCHN
2022-12-10T04:12:07Z,The first #China-#Arab States Summit has been held in Riyadh. China and Arab states have agreed to work all out for a China-Arab community with a shared future in the new era. https://t.co/1niZoZsIRg,188,1200,SpokespersonCHN
2022-12-10T04:04:22Z,اختتمت القمة الصينية الخليجية الأولى بنجاح في الرياض. قررت القمة إقامة وتعزيز علاقات الشراكة الاستراتيجية بين الصين ومجلس التعاون الخليجي.,27,164,SpokespersonCHN
2022-12-10T04:04:21Z,The first #China-#GCC Summit has concluded in Riyadh. It was decided at the Summit to establish and strengthen a China-GCC strategic partnership. https://t.co/y8enkYFDIX,218,1450,SpokespersonCHN
2022-12-10T03:44:54Z,The Eight Major Cooperation Initiatives between China and Arab states chart the way forward for building a #China-#Arab community with a shared future. https://t.co/5c5HrILq2B,145,493,SpokespersonCHN
2022-12-09T14:13:12Z,Impressive growth in trade and #energycooperation between China and #GCC countries. https://t.co/RtSxI2yIN2,95,335,SpokespersonCHN
2022-12-09T13:44:52Z,Cooperation between #China and #Arab countries have yielded fruitful results and will continue to flourish. (5/5) https://t.co/cRyhMmRdqp,73,306,SpokespersonCHN
2022-12-09T13:44:28Z,Cooperation between #China and #Arab countries have yielded fruitful results and will continue to flourish. (4/5) https://t.co/OWcLq6HUzS,75,262,SpokespersonCHN
2022-12-09T13:42:19Z,Cooperation between #China and #Arab countries have yielded fruitful results and will continue to flourish. (3/5) https://t.co/Qdd0HSG7kf,81,287,SpokespersonCHN
2022-12-09T13:41:41Z,Cooperation between #China and #Arab countries have yielded fruitful results and will continue to flourish. (2/5) https://t.co/zG8wiTbslt,70,300,SpokespersonCHN
2022-12-09T13:41:18Z,Cooperation between #China and #Arab countries have yielded fruitful results and will continue to flourish. (1/5) https://t.co/9PyV2hl3wA,63,246,SpokespersonCHN
2022-12-09T11:40:20Z,https://t.co/5oMjSsdueG,45,189,SpokespersonCHN
2022-12-09T11:40:18Z,https://t.co/6AzvyEYjtM,47,219,SpokespersonCHN
2022-12-09T11:40:16Z,"Together, #China and #Arab countries are creating numerous new records. https://t.co/tW5fdmQqjw",101,478,SpokespersonCHN
2022-12-09T10:54:31Z,Ehna ElHayah (we are life): a joyful song jointly presented by Chinese and Egyptian singers that hails the strong and vibrant #China-#Arab friendship. https://t.co/De2UjFHmow,69,262,SpokespersonCHN
2022-12-09T06:15:25Z,يحرص الجانب الصيني على العمل يدا بيد مع الجانب السوداني على توطيد الصداقة والثقة المتبادلة بين البلدين، ودعم بثبات المصالح الجوهرية لكل من الجانبين، وسيواصل تقديم المساعدات الإنمائية للسودان بقدر الإمكان.,21,155,SpokespersonCHN
2022-12-09T06:15:24Z,أكد الرئيس شي جينبينغ في لقائه مع رئيس مجلس السيادة السوداني عبد الفتاح البرهان أن الصين والسودان صديقان طيبان وأخوان حميمان يتقاسمان السراء والضراء.,47,369,SpokespersonCHN
2022-12-09T06:15:21Z,"President Xi met with Sudan’s Sovereignty Council Chairman Al-Burhan. China &amp; Sudan are good friends &amp; brothers sharing weal&amp;woe. China will work with Sudan to strengthen friendship &amp; trust and firmly support each other’s core interests, and will continue to help Sudan develop. https://t.co/G6StT4Yzww",97,615,SpokespersonCHN
2022-12-09T05:55:30Z,أكد الرئيس شي جينبينغ في لقائه مع ولي العهد الكويتي الشيخ مشعل الأحمد الجابر الصباح أن الجانب الصيني يحرص أن يبقى شريكا موثوقا به للكويت.,22,125,SpokespersonCHN
2022-12-09T05:55:29Z,President Xi met with Crown Prince Sheikh Mishal Al-Ahmad Al-Jaber Al-Sabah of Kuwait. China will remain a partner that Kuwait can trust. https://t.co/Z1TaLMfeNO,137,1032,SpokespersonCHN
2022-12-09T04:11:58Z,يدعم الجانب الصيني بثبات القضية العادلة للشعب الفلسطيني لاستعادة حقوقه الوطنية المشروعة، وظل يقف إلى جانب الشعب الفلسطيني. سيواصل الجانب الصيني بذل جهود دؤوبة للدفع بإيجاد حل عادل ودائم ومبكر للقضية الفلسطينية.,25,127,SpokespersonCHN
2022-12-09T04:11:58Z,أكد الرئيس شي جينبينغ في لقائه مع الرئيس الفلسطيني محمود عباس أن الصداقة الصينية الفلسطينية راسخة في قلوب الناس. وظل الجانبان يتبادلان الثقة والدعم.,45,248,SpokespersonCHN
2022-12-09T04:11:54Z,"China always firmly supports the just cause of the Palestinian people to restore the legitimate rights and interests of their nation, and always stands with the Palestinian people. China will continue to work for an early, just and durable solution to the Palestinian issue.",63,292,SpokespersonCHN
2022-12-09T04:11:53Z,President Xi met with Palestinian President Mahmoud Abbas. China-Palestine friendship is deeply cherished by the two peoples. The two sides have always trusted and supported each other. https://t.co/qha3kn7jtT,265,1356,SpokespersonCHN
2022-12-09T04:10:50Z,...والدفع بالشراكة الاستراتيجية الشاملة بين البلدين لتحقيق تطور جديد وأكبر.,20,90,SpokespersonCHN
2022-12-09T04:10:49Z,أكد الرئيس شي جينبينغ في لقائه مع الرئيس المصري عبدالفتاح السيسي أن الصين ومصر تشاركان نفس الأفكار وتترابطان في المصالح، فيتعين على الجانبين العمل معا نحو بناء المجتمع الصيني المصري للمستقبل المشترك في العصر الجديد...,37,162,SpokespersonCHN
2022-12-09T04:10:42Z,... and toward greater advancement of the China-Egypt comprehensive strategic partnership.,30,129,SpokespersonCHN
2022-12-09T04:10:41Z,President Xi Jinping met with Egyptian President Abdel Fattah el-Sisi. The visions and interests that China and Egypt share mean that the two sides need to work together toward the building of a #China-#Egypt community with a shared future in the new era... https://t.co/SbO10GRNcm,88,491,SpokespersonCHN
2022-12-09T03:19:30Z,...ويستعد لمواصلة تعزيز التواصل الاستراتيجي مع الجانب السعودي وتعميق التعاون في كافة المجالات، بما يخدم مصالح التنمية للبلدين، ويصون السلام والاستقرار في العالم.,22,105,SpokespersonCHN
2022-12-09T03:19:29Z,أكد الرئيس شي جينبينغ في لقائه مع الملك السعودي سلمان بن عبدالعزيز آل سعود أن الجانب الصيني يعتبر الجانب السعودي قوة مهمة في العالم المتعدد الأقطاب، ويولي اهتماما بالغا بتطوير علاقات الشراكة الاستراتيجية الشاملة مع المملكة...,44,186,SpokespersonCHN
2022-12-09T03:13:24Z,China stands ready to further strengthen strategic communication and deepen cooperation across the board with Saudi Arabia to deliver for the development interests of the two countries and safeguard world peace and stability.,39,192,SpokespersonCHN
2022-12-09T03:13:23Z,President Xi Jinping met with King Salman bin Abdulaziz Al Saud of Saudi Arabia. China sees Saudi Arabia as an important force in the multi-polar world and attaches great importance to developing the comprehensive strategic partnership with #SaudiArabia. https://t.co/yCj1l3Ou3l,257,1153,SpokespersonCHN
2022-12-09T02:53:38Z,اتفق الجانبان على ترقية اللجنة الصينية السعودية المشتركة الرفيعة المستوى إلى مستوى رئيس الوزراء.,26,98,SpokespersonCHN
2022-12-09T02:53:37Z,The two sides agreed to upgrade the China-Saudi Arabia High-level Joint Committee to the prime minister’s level.,58,331,SpokespersonCHN
2022-12-09T02:46:33Z,يتطلع الجانب الصيني إلى بذل جهود مشتركة مع الجانب السعودي والدول العربية، لتصبح القمتان حدثين كبيرين كمعلم في تاريخ تطور العلاقات الصينية العربية والصينية الخليجية، يسهمان في الارتقاء بالعلاقات الصينية العربية والصينية الخليجية إلى مستوى جديد.,27,94,SpokespersonCHN
2022-12-09T02:46:32Z,"China looks forward to working with Saudi Arabia and Arab states to turn the two summits into milestone events in the history of #China-#Arab relations and China-GCC relations, and bring these relations to new heights.",59,283,SpokespersonCHN
2022-12-09T02:44:01Z,...بما يدفع علاقات الشراكة الاستراتيجية الشاملة بين الصين والسعودية إلى المزيد من التطور.,21,92,SpokespersonCHN
2022-12-09T02:44:00Z,تحرص الصين على التقدم يدا بيد مع الجانب السعودي في طريق تحقيق نهضة الأمة، وتعزيز المواءمة بين الاستراتيجيات التنموية، وتعميق التعاون العملي في كافة المجالات، وتكثيف التواصل والتنسيق في الشؤون الدولية والإقليمية...,44,209,SpokespersonCHN
2022-12-09T02:28:07Z,...and achieve even greater progress in the China-Saudi Arabia comprehensive strategic partnership.,25,144,SpokespersonCHN
2022-12-09T02:28:06Z,"China will work with Saudi Arabia to achieve each other’s national rejuvenation, forge stronger synergy between development initiatives, deepen practical cooperation in all areas, increase communication and coordination in international and regional affairs...",70,418,SpokespersonCHN
2022-12-09T01:43:26Z,تضع الصين تطوير علاقاتها مع المملكة في الاتجاهات ذات الأولوية في مجمل دبلوماسيتها خاصة دبلوماسيتها تجاه الشرق الأوسط.,32,112,SpokespersonCHN
2022-12-09T01:43:26Z,"China takes the development of its relations with Saudi Arabia as a priority in its overall foreign relations, in particular its diplomacy in the Middle East.",73,553,SpokespersonCHN
