docname,Segment,WPS,WC,Sixltr,Dic,culture.culture-high,culture.culture-popular,culture.sport,culture,economy.+state+,economy.=state=,economy.-state-,environment.con environment,environment.pro environment,groups.ethnic,groups.women,institutions.conservative,institutions.neutral,institutions.radical,law_and_order.law-conservative,law_and_order.law-liberal,rural,urban,values.conservative,values.liberal,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Strengthening_Cooperation_Among_Political_Parties_.csv.7,771,25.8,129,28.68,3.1,0,0,0,0.78,0,1.55,0,0,0,0,0,0,0,0.78,0,0,0,0,0,0,13.18,3.88,7.75,0,0,0,0,1.55,0,0,0,11.63
Strengthening_Cooperation_Among_Political_Parties_.csv.8,772,18.333333333333332,55,23.64,5.45,0,0,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,1.82,1.82,14.55,5.45,5.45,0,0,0,0,3.64,0,0,0,10.91
Strengthening_Cooperation_Among_Political_Parties_.csv.9,773,18.2,91,24.18,9.89,0,0,0,0,0,2.2,0,0,1.1,1.1,0,0,0,0,1.1,0,0,0,1.1,3.3,10.99,4.4,4.4,1.1,0,0,0,0,1.1,1.1,0,9.89
Strengthening_Cooperation_Among_Political_Parties_.csv.10,774,19.75,158,18.35,5.7,0,0,0,1.9,0.63,0,1.27,0,0,0,0,0,0,0.63,0.63,0,0,0,0,0.63,11.39,5.06,3.8,0,0,0,0,0,2.53,0,0,8.86
Strengthening_Cooperation_Among_Political_Parties_.csv.11,775,35.5,142,28.87,4.93,0,0,0,0.7,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0.7,2.82,11.97,2.82,8.45,0,0,0,0,0.7,0,0,0,11.27
Strengthening_Cooperation_Among_Political_Parties_.csv.12,776,25.9,259,28.19,2.32,0,0,0,0.39,1.16,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0.39,9.27,3.86,4.25,0,0,0,0,0,1.16,0.39,0,8.11
Strengthening_Cooperation_Among_Political_Parties_.csv.13,777,28.571428571428573,200,24.5,5.5,0,0,0,0,0.5,1.5,0.5,0,1.5,0,0,0.5,0,0,0.5,0,0,0,0,0.5,9.5,3.5,3,0,0,0,0,2,1,0,0,6.5
Strengthening_Cooperation_Among_Political_Parties_.csv.14,778,20.666666666666668,186,29.57,3.23,0,0,0,1.08,0,0,0.54,0,0,0,0,0.54,0.54,0.54,0,0,0,0,0,0,13.44,4.84,6.45,0,0,0,0,1.08,1.08,1.08,0,11.29
Strengthening_Cooperation_Among_Political_Parties_.csv.15,779,6,6,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,33.33
Strengthening_Cooperation_Among_Political_Parties_.csv.16,780,31.6,158,31.65,6.33,0,0,0,2.53,0,1.27,0.63,0,0,0,0,0.63,0,0.63,0,0,0,0,0,0.63,8.23,3.8,3.16,0,0,0,0,0.63,0.63,0.63,0,6.96
Strengthening_Cooperation_Among_Political_Parties_.csv.17,781,24.333333333333332,73,15.07,4.11,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0,1.37,0,0,0,1.37,0,9.59,4.11,5.48,0,0,0,0,0,0,0,0,9.59
Strengthening_Cooperation_Among_Political_Parties_.csv.18,782,26.875,215,23.26,8.37,0,0,0,1.4,0.93,0.93,0.93,0,0,0,0,0.47,0,2.79,0,0,0,0,0.47,0.47,8.84,3.72,2.33,0,0,0,0,0.93,1.86,1.86,0,6.05
Strengthening_Cooperation_Among_Political_Parties_.csv.19,783,30.6,153,32.68,3.92,0,0,0,0.65,0.65,1.96,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,10.46,3.27,5.23,0,0,0,0,1.96,0,0,0,8.5
Strengthening_Cooperation_Among_Political_Parties_.csv.20,784,32,224,33.04,4.02,0,0,0,0.45,2.68,0,0,0,0,0,0,0,0.45,0.45,0,0,0,0,0,0,5.8,3.57,1.34,0,0,0,0,0.89,0,0,0,4.91
Strengthening_Cooperation_Among_Political_Parties_.csv.21,785,23.2,232,28.45,4.74,0,0,0,0,0.43,0.43,0,0,0,0,0,0.86,0,1.72,0,0,0,0,0.43,0.86,9.48,4.31,1.72,0,0,0,0,2.59,0.86,0.86,0,6.03
Strengthening_Cooperation_Among_Political_Parties_.csv.22,786,6,6,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,33.33
Strengthening_Cooperation_Among_Political_Parties_.csv.23,787,20.4,102,16.67,3.92,0,0,0,0,0.98,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,6.86,3.92,1.96,0,0,0,0.98,0,0,0,0,6.86
Strengthening_Cooperation_Among_Political_Parties_.csv.24,788,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,20
Summary_of_the_Party_s_Historical_Experience_to_St.csv.1,789,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summary_of_the_Party_s_Historical_Experience_to_St.csv.2,790,32,96,31.25,5.21,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,6.25,3.12,3.12,0,0,0,0,0,0,0,0,6.25
Summary_of_the_Party_s_Historical_Experience_to_St.csv.3,791,15,15,13.33,6.67,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,20,0,6.67,0,0,0,0,0,0,0,6.67,6.67
Summary_of_the_Party_s_Historical_Experience_to_St.csv.4,792,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summary_of_the_Party_s_Historical_Experience_to_St.csv.5,793,20.384615384615383,265,22.64,4.53,0,0,0,0,0,0.75,0,0,0,0,0,0.38,1.89,0,0.38,0,0,0,1.13,0,11.32,4.91,3.77,0.38,0,0,0,1.13,1.13,0.38,0,9.06
Summary_of_the_Party_s_Historical_Experience_to_St.csv.6,794,15,15,20,13.33,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,6.67,0,0,0,0,0,0,0,6.67,6.67
Summary_of_the_Party_s_Historical_Experience_to_St.csv.7,795,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summary_of_the_Party_s_Historical_Experience_to_St.csv.8,796,68,136,27.21,5.15,0,0,0,0,0,1.47,0,0,0,0,0,0,0.74,1.47,0,0,0,0,1.47,0,15.44,1.47,8.82,0,0,0,0,0.74,2.94,0,0.74,10.29
Summary_of_the_Party_s_Historical_Experience_to_St.csv.9,797,36.6,183,38.8,4.92,0,0,0,0,0.55,0,0.55,0,0,0,0,0.55,0,0,0,0,0,0,2.73,0.55,12.02,2.73,6.01,0,0,0,0,2.19,1.09,1.09,0,8.74
Summary_of_the_Party_s_Historical_Experience_to_St.csv.10,798,46,46,26.09,4.35,0,0,0,0,0,0,2.17,0,0,0,0,0,2.17,0,0,0,0,0,0,0,15.22,0,2.17,0,0,0,0,0,8.7,0,2.17,2.17
Summary_of_the_Party_s_Historical_Experience_to_St.csv.11,799,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summary_of_the_Party_s_Historical_Experience_to_St.csv.12,800,38.857142857142854,272,25.37,5.51,0,0,0,0.37,0.37,0.37,0.37,0,0,0,0,0.74,0.74,0.37,0,0,0,0,1.84,0.37,13.24,2.57,6.99,0.37,0,0,0,0,3.31,2.57,0,9.93
Summary_of_the_Party_s_Historical_Experience_to_St.csv.13,801,18,18,27.78,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,16.67,0,5.56,0,0,0,0,0,0,0,5.56,5.56
Summary_of_the_Party_s_Historical_Experience_to_St.csv.14,802,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summary_of_the_Party_s_Historical_Experience_to_St.csv.15,803,40,240,29.58,4.58,0,0,0,0,1.25,1.25,0,0,0.42,0,0,0,0.42,0,0,0,0,0,1.25,0,14.58,2.5,8.33,0,0,0,0,1.25,1.67,1.67,0.42,10.83
Summary_of_the_Party_s_Historical_Experience_to_St.csv.16,804,38,38,28.95,7.89,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,2.63,2.63
Summary_of_the_Party_s_Historical_Experience_to_St.csv.17,805,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summary_of_the_Party_s_Historical_Experience_to_St.csv.18,806,30.8,154,34.42,3.25,0,0,0,0,0.65,1.3,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,12.99,3.25,4.55,0.65,0,0,0,0.65,3.9,2.6,0,8.44
Summary_of_the_Party_s_Historical_Experience_to_St.csv.19,807,28.2,141,34.04,9.22,0,0,0,0,0,0,0,0,0,0,0,2.13,3.55,0.71,0,0,0,0,2.84,0,12.06,4.26,5.67,0,0,0,0,0,2.13,2.13,0,9.93
Summary_of_the_Party_s_Historical_Experience_to_St.csv.20,808,57,57,31.58,7.02,0,0,0,0,0,0,0,0,0,0,0,0,3.51,1.75,0,0,0,0,1.75,0,8.77,0,5.26,0,0,0,0,0,0,0,1.75,5.26
Summary_of_the_Party_s_Historical_Experience_to_St.csv.21,809,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summary_of_the_Party_s_Historical_Experience_to_St.csv.22,810,51.666666666666664,155,30.97,4.52,0,0,0,0,0.65,1.94,0,0,0,0,0,0.65,0,0.65,0,0,0,0,0.65,0,8.39,1.94,0.65,0,0.65,0,0,0,5.16,1.29,0,3.23
Summary_of_the_Party_s_Historical_Experience_to_St.csv.23,811,19,19,21.05,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79,0,5.26,0,0,0,0,0,0,0,5.26,5.26
Summary_of_the_Party_s_Historical_Experience_to_St.csv.24,812,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summary_of_the_Party_s_Historical_Experience_to_St.csv.25,813,21.666666666666668,130,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4.62,3.85,0,0,0,0,0,1.54,1.54,0,8.46
Summary_of_the_Party_s_Historical_Experience_to_St.csv.26,814,19,19,21.05,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79,0,5.26,0,0,0,0,0,0,0,5.26,5.26
Summary_of_the_Party_s_Historical_Experience_to_St.csv.27,815,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summary_of_the_Party_s_Historical_Experience_to_St.csv.28,816,25.916666666666668,311,18.97,2.25,0,0,0,0,0,0,0.64,0,0.32,0,0,0.32,0,0,0,0,0,0,0.64,0.32,13.83,3.86,5.14,0,0,0,0,0.32,3.86,0,0,9
Summary_of_the_Party_s_Historical_Experience_to_St.csv.29,817,16,16,18.75,12.5,0,0,0,0,0,6.25,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,18.75,0,6.25,0,0,0,0,0,0,0,6.25,6.25
Summary_of_the_Party_s_Historical_Experience_to_St.csv.30,818,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summary_of_the_Party_s_Historical_Experience_to_St.csv.31,819,33,165,22.42,6.67,0,0,0,0,0,0,0,0,0,0,0,0.61,4.24,1.21,0,0,0,0,0.61,0,12.73,2.42,4.85,0,0,0,0.61,0,3.64,1.21,0,7.88
